Bouvier des Flandres,Black;Brown,Large,23-28 inches,70-110 pounds,10-12 years,Strong-Willed & Affectionate,Energetic,Medium,Herding
Boxer,Brown;White;Tan;Black,Large,21-25 inches,60-80 pounds,10-12 years,Fun-Loving & Active,Energetic,Smooth,Working
Boykin Spaniel,Brown,Medium,14-18 inches,25-40 pounds,10-15 years,Friendly & Eager,Regular Exercise,Medium,Sporting
Briard,Black,Large,22-27 inches,55-100 pounds,12 years,Confident & Faithful,Regular Exercise,Long,Herding
Brittany,Brown;White,Medium,17.5-21 inches,30-40 pounds,12-14 years,Bright & Upbeat,Very Active,Short,Sporting
Brussels Griffon,Black;Tan;Brown,Extra Small,7-10 inches,8-10 pounds,12-15 years,Alert & Curious,Regular Exercise,Short,Toy
Bull Terrier,White;Black,Medium,21-22 inches,50-70 pounds,12-13 years,Playful & Mischievous,Energetic,Smooth,Terrier
Bulldog,Brown;White,Medium,14-15 inches,40-50 pounds,8-10 years,Calm & Courageous,Regular Exercise,Short,Non-Sporting
Bullmastiff,Brown;Black;Tan,Extra Large,24-27 inches,100-130 pounds,7-9 years,Brave & Affectionate,Energetic,Short,Working
Cairn Terrier,Brown,Small,9-10 inches,13-14 pounds,13-15 years,Cheerful & Busy,Regular Exercise,Medium,Terrier
Canaan Dog,Black;White,Medium,19-24 inches,35-55 pounds,12-15 years,Alert & Vigilant,Regular Exercise,Short,Herding
Cane Corso,Brown,Large,23-28 inches,Proportionate to height,9-12 years,Intelligent & Majestic,Energetic,Smooth,Working
Canadian Welsh Corgi,White;Brown;Tan,Small,10.5-12.5 inches,25-38 pounds,12-15 years,Loyal & Affectionate,Energetic,Medium,Herding
Cavalier King Charles Spaniel,White;Brown,Small,12-13 inches,13-18 pounds,12-15 years,Graceful & Gentle,Calm,Medium,Toy
Cesky Terrier,Brown,Small,10-13 inches,14-24 pounds,12-15 years,Clever & Adventurous,Regular Exercise,Medium,Terrier
Chesapeake Bay Retriever,Brown,Large,21-26 inches,55-80 pounds,10-13 years,Bright & Sensitive,Energetic,Medium,Sporting
Chihuahua,Brown;White;Tan;Black,Extra Small,5-8 inches,not exceeding 6 pounds,14-16 years,Charming & Sassy,Regular Exercise,Short,Toy
Chinese Crested,White;Brown,Extra Small,11-13 inches,8-12 pounds,13-18 years,Lively & Alert,Regular Exercise,Hairless,Toy
Chinese Shar-Pei,Brown;Tan;White,Medium,18-20 inches,45-60 pounds,8-12 years,Loyal & Calm,Regular Exercise,Short,Non-Sporting
Chinook,Brown;Tan;White,Large,22-26 inches,50-90 pounds,12-15 years,Patient & Devoted,Energetic,Medium,Working
Chow Chow,Brown;White;Tan,Medium,17-20 inches,45-70 pounds,8-12 years,Serious & Dignified,Regular Exercise,Long,Non-Sporting
Cirneco dell'Etna,Brown,Medium,16-20 inches,17-26 pounds,12-14 years,Independent & Friendly,Regular Exercise,Smooth,Hound
Clumber Spaniel,White,Medium,17-20 inches,55-85 pounds,10-12 years,Mellow & Gentlemanly,Regular Exercise,Short,Sporting
Cocker Spaniel,White;Brown;Black,Small,13-16 inches,20-30 pounds,10-14 years,Happy & Gentle,Regular Exercise,Long,Sporting
Collie,White;Tan;Brown,Medium,22-26 inches,50-75 pounds,12-14 years,Devoted & Proud,Regular Exercise,Short,Herding
Coton de Tulear,White,Small,9-11 inches,8-15 pounds,15-19 years,Happy-Go-Lucky,Regular Exercise,Long,Non-Sporting
Curly-Coated Retriever,Black;Brown,Large,23-27 inches,60-95 pounds,10-12 years,Confident & Wickedly Smart,Energetic,Short,Sporting
Dachshund,Brown;Black,Small,5-9 inches,11-32 pounds,12-16 years,Spunky & Curious,Regular Exercise,Short,Hound
Dalmatian,Black & White,Medium,19-24 inches,45-70 pounds,11-13 years,Outgoing & Dignified,Energetic,Smooth,Non-Sporting
Dandie Dinmont Terrier,Tan,Small,8-11 inches,18-24 pounds,12-15 years,Independent & Proud,Regular Exercise,Medium,Terrier
Doberman Pinscher,Brown;Black,Large,24-28 inches,60-100 pounds,10-12 years,Alert & Fearless,Very Active,Smooth,Working
Dogo Argentino,White,Large,24-27 inches,88-100 pounds,9-15 years,Loyal & Athletic,Very Active,Smooth,Working
Dogue de Bordeaux,Brown;Tan,Extra Large,23-26 inches,99+ pounds,5-8 years,Affectionate & Loyal,Regular Exercise,Short,Working
English Cocker Spaniel,Tan,Medium,15-17 inches,26-34 pounds,12-14 years,Merry & Responsive,Regular Exercise,Long,Sporting
English Foxhound,Black;White;Brown,Medium,24 inches,60-75 pounds,10-13 years,Gentle & Sociable,Energetic,Short,Hound
English Setter,Brown,Medium,23-27 inches,45-80 pounds,12 years,Mellow & Merry,Energetic,Medium,Sporting
English Springer Spaniel,White;Black,Medium,19-20 inches,40-50 pounds,12-14 years,Playful & Obedient,Regular Exercise,Medium,Sporting
English Toy Spaniel,Brown;Tan;White,Small,9-10 inches,8-14 pounds,10-12 years,Gentle & Playful,Regular Exercise,Medium,Toy
Entlebucher Mountain Dog,Brown;White;Black;Tan,Medium,16-21 inches,40-65 pounds,11-13 years,Enthusiastic & Loyal,Very Active,Short,Herding
Field Spaniel,Brown,Medium,17-18 inches,35-50 pounds,12-13 years,Sweet & Sensitive,Regular Exercise,Medium,Sporting
Finnish Lapphund,Tan;Black,Medium,16-21 inches,33-53 pounds,12-15 years,Agile & Alert,Regular Exercise,Medium,Herding
Finnish Spitz,Tan,Medium,15-20 inches,20-33 pounds,13-15 years,Lively & Good-Natured,Very Active,Medium,Non-Sporting
Flat-Coated Retriever,Brown,Medium,22-25 inches,60-70 pounds,8-10 years,Cheerful & Optimistic,Very Active,Medium,Sporting
French Bulldog,Black;White,Small,11-13 inches,under 28 pounds,10-12 years,Playful & Adaptable,Calm,Short,Non-Sporting
German Pinscher,Tan,Medium,17-20 inches,25-45 pounds,12-14 years,Courageous & Vivacious,Very Active,Smooth,Working
German Shepherd,Tan;Black;Brown,Large,22-26 inches,50-90 pounds,12-14 years,Smart & Confident,Regular Exercise,Medium,Herding
German Shorthaired Pointer,Brown;White,Medium,21-25 inches,45-70 pounds,10-12 years,Friendly & Willing to Please,Very Active,Short,Sporting
German Wirehaired Pointer,Black;Silver;Brown,Medium,22-26 inches,50-70 pounds,14-16 years,Affectionate & Eager,Very Active,Short,Sporting
Giant Schnauzer,Black,Large,23-28 inches,55-85 pounds,12-15 years,Alert & Trainable,Very Active,Medium,Working
Glen of Imaal Terrier,Tan;White,Small,12-14 inches,32-40 pounds,10-15 years,Gentle & Bold,Regular Exercise,Medium,Terrier
Golden Retriever,Tan,Large,21-24 inches,55-75 pounds,10-12 years,Intelligent & Devoted,Very Active,Medium,Sporting
Gordon Setter,Black;Tan;Brown,Large,23-27 inches,45-80 pounds,12-13 years,Bold & Confident,Very Active,Medium,Sporting
Grand Basset Griffon Vendeen,White;Brown,Medium,15.5-18 inches,40-45 pounds,13-15 years,Happy & Outgoing,Very Active,Medium,Hound
Great Dane,Tan;Black;Brown,Extra Large,28-32 inches,110-175 pounds,7-10 years,Patient & Dependable,Energetic,Smooth,Working
Great Pyrenees,White,Extra Large,25-32 inches,85+ pounds,10-12 years,Calm & Patient,Very Active,Medium,Working
Greater Swiss Mountain Dog,Black;Brown;White,Extra Large,23-29 inches,85-140 pounds,8-11 years,Faithful & Dependable,Energetic,Short,Working
Greyhound,Grey;White,Large,27-30 inches,60-70 pounds,10-13 years,Gentle & Noble,Energetic,Smooth,Hound
Harrier,White;Brown;Black,Medium,19-21 inches,45-60 pounds,12-15 years,Outgoing & Friendly,Very Active,Short,Hound
Havanese,Brown,Small,8.5-12 inches,7-13 pounds,14-16 years,Outgoung & Funny,Regular Exercise,Long,Toy
Ibizan Hound,White;Tan;Brown,Large,22-28 inches,45-50 pounds,11-14 years,Even-Tempered & Polite,Very Active,Smooth,Hound
Icelandic Sheepdog,Brown;Tan;White;Black,Medium,16.5-18 inches,25-30 pounds,12-14 years,Friendly & Inquisitive,Energetic,Medium,Herding
Irish Red and White Setter,White;Red,Large,22-26 inches,45-70 pounds,11-15 years,Spirited & Determined,Very Active,Medium,Sporting
Irish Setter,Brown,Large,25-27 inches,60-70 pounds,12-15 years,Sweet-natured & Active,Very Active,Medium,Sporting
Irish Terrier,Brown;Tan,Medium,18 inches,25-27 pounds,13-15 years,Dashing & Tenderhearted,Regular Exercise,Medium,Terrier
Irish Water Spaniel,Brown,Large,21-24 inches,45-68 pounds,12-13 years,Hardworking & Brave,Very Active,Long,Sporting
Irish Wolfhound,Tan;White;Brown,Extra Large,30-32 inches,105-120 pounds,6-8 years,Calm & Dignified,Regular Exercise,Medium,Hound
Italian Greyhound,Brown;Grey,Small,13-15 inches,7-14 pounds,14-15 years,Sensitive & Alert,Regular Exercise,Smooth,Toy
Japanese Chin,White,Extra Small,8-11 inches,7-11 pounds,10-12 years,Charming & Loving,Regular Exercise,Medium,Toy
Keeshond,Tan;Black;Brown,Medium,17-18 inches,35-45 pounds,12-15 years,Lively & Friendly,Regular Exercise,Long,Non-Sporting
Kerry Blue Terrier,Black;Silver;Blue,Medium,17-20 inches,33-40 pounds,12-15 years,Smart & Alert,Regular Exercise,Long,Terrier
Komondor,White,Large,25.5+ inches,80+ pounds,10-12 years,Dignified & Brave,Regular Exercise,Long,Working
Kuvasz,White,Large,26-30 inches,70-115 pounds,10-12 years,Loyal & Fearless,Regular Exercise,Medium,Working
Labrador Retriever,Tan;Brown;Black,Large,21-25 inches,55-80 pounds,10-12 years,Active & Outgoing,Very Active,Short,Sporting
Lagotto Romagnolo,Tan,Medium,16-19 inches,24-35 pounds,15-17 years,Keen & Undemanding,Regular Exercise,Short,Sporting
Lakeland Terrier,Tan;Brown,Small,13-15 inches,17 pounds,12-15 years,Bold & Friendly,Regular Exercise,Medium,Terrier
Leonberger,Tan;Brown;Black,Extra Large,25-32 inches,90-170 pounds,9 years,Gentle & Playful,Regular Exercise,Medium,Working
Lhasa Apso,Tan;Brown;White,Small,10-11 inches,12-18 pounds,12-15 years,Confident & Comical,Regular Exercise,Long,Non-Sporting
Lowchen,Brown;Tan,Small,11-13 inches,10-15 pounds,15+ years,Positive & Affectionate,Regular Exercise,Long,Non-Sporting
Maltese,White,Extra Small,7-9 inches,under 7 pounds,12-15 years,Gentle & Charming,Regular Exercise,Long,Toy
Manchester Terrier (Standard),Black;Tan;Brown,Small,15-16 inches,12-22 pounds,15-17 years,Spirited & Keenly Observant,Regular Exercise,Smooth,Terrier
Manchester Terrier (Toy),Black;Tan;Brown,Extra Small,10-12 inches,under 12 pounds,15-17 years,Agile & Spirited,Regular Exercise,Smooth,Toy
Mastiff,Tan;Brown,Extra Large,27+ inches,120-230 pounds,6-10 years,Courageous & Dignified,Regular Exercise,Short,Working
Miniature American Shepherd,White;Tan;Brown;Black,Medium,13-18 inches,20-40 pounds,12-13 years,Good-Natured & Devoted,Energetic,Medium,Herding
Miniature Bull Terrier,Brown;Tan;White,Small,10-14 inches,18-28 pounds,11-13 years,Upbeat & Comical,Energetic,Smooth,Terrier
Miniature Pinscher,Tan;Brown,Extra Small,10-12.5 inches,8-10 pounds,12-16 years,Proud & Fun-loving,Regular Exercise,Smooth,Toy
Miniature Schnauzer,Brown;Grey,Small,12-14 inches,11-20 pounds,12-15 years,Friendly & Obedient,Regular Exercise,Medium,Terrier
Neapolitan Mastiff,Brown,Extra Large,24-31 inches,110-150 pounds,7-9 years,Watchful & Dignified,Regular Exercise,Short,Working
Nederlandse Kooikerhondje,White;Brown;Tan,Medium,14-17 inches,20-30 pounds,12-15 years,Quick & Alert,Regular Exercise,Short,Sporting
Newfoundland,Black;Brown,Extra Large,26-28 inches,100-150 pounds,9-10 years,Sweet & Patient,Regular Exercise,Medium,Working
Norfolk Terrier,Tan;Brown,Small,9-10 inches,11-12 pounds,12-16 years,Alert & Fun-Loving,Regular Exercise,Medium,Terrier
Norwegian Buhund,Tan;Brown;Black;White,Medium,16-19 inches,26-40 pounds,12-15 years,Perceptive & Confident,Energetic,Medium,Herding
Norwegian Elkhound,Grey;Black;White;Silver,Medium,19-21 inches,48-55 pounds,12-15 years,Dependable & Friendly,Regular Exercise,Medium,Hound
Norwegian Lundehund,Tan;Brown;White,Small,12-15 inches,20-30 pounds,12-15 years,Energetic & Alert,Energetic,Short,Non-Sporting
Norwich Terrier,Tan;Brown;Black,Small,10 inches,12 pounds,12-15 years,Alert & Curious,Energetic,Medium,Terrier
